3791129	-	1
326915	-	5
771474	+	3
930101	+	9
340572	+	6
2999988	+	1
26502	+	1
2088619	-	9
308308	+	1
1981461	-	1
2343388	-	5
890745	-	1
4310175	+	1
3740309	-	9
3483342	+	1
86478	-	1
3735812	-	1
1956575	-	1
925342	+	2
2158423	-	1
1186440	+	3
1027027	+	1
834451	-	1
954544	+	4
1827957	-	1
3888275	-	8
2314612	-	2
4373847	-	1
2283544	+	1
669744	+	6
3896484	-	2
1987128	+	2
3557030	-	1
1976272	-	1
2976554	-	5
3805255	-	11
3779565	-	9
2127927	-	3
1998934	+	2
1882130	+	12
2972108	+	4
2966089	-	3
2402172	+	1
598543	-	6
2962117	-	1
4263361	+	1
2985619	-	1
693267	-	3
400340	+	1
194864	-	11
169250	-	1
3643316	+	1
2165009	+	1
3491590	+	4
4121306	+	1
2367196	+	2
2184549	-	9
894264	+	1
2280841	-	3
1541945	+	10
4028206	-	1
478933	-	6
89411	+	1
2723666	+	1
1718396	-	2
71440	+	1
3065978	-	1
506814	-	1
368909	-	1
960324	-	1
2062413	-	2
2322759	-	1
3228891	-	1
2342650	-	1
928158	-	9
554917	-	9
1607505	-	1
453438	-	1
2012551	+	3
2756941	-	1
63257	-	1
4306873	+	1
1120973	-	1
2039058	+	2
1206487	-	1
3890768	+	3
2170744	-	1
2853479	-	3
673141	-	9
4103688	-	2
769358	+	2
430883	-	1
2610052	-	1
1529133	-	3
1618642	-	1
1203112	-	1
2013078	+	1
4097703	-	5
1729969	-	1
1028782	+	3
68404	+	1
1479120	+	1
14889	+	1
1176836	-	10
4090287	-	1
71702	-	1
1854649	-	2
2580179	-	1
1971922	+	2
3430358	+	8
2877874	-	1
3162588	-	1
3229577	-	2
3479617	+	2
471596	-	3
890376	+	1
2232543	-	1
2286151	-	1
3633009	+	3
3288363	+	1
3119955	+	2
4374550	+	1
1332411	-	1
2626535	-	1
3823829	-	6
3105077	+	1
1596454	-	1
2973463	+	1
4172746	+	3
206829	-	1
3710363	+	1
2973463	+	1
682813	+	1
2379117	-	1
4105533	-	11
1086728	-	1
2973463	+	1
3766859	-	1
4097490	+	1
808016	+	1
247961	-	5
3898868	+	1
1691286	-	1
1190285	-	1
755606	-	12
4359979	-	1
2162859	+	1
2978994	-	1
79504	+	18
1606294	+	1
3170797	-	1
3472058	-	2
3159300	-	1
444510	-	1
1016192	-	7
1519379	-	1
1793149	-	1
1425844	-	1
2423180	-	1
1332920	-	2
3645005	+	1
255932	-	3
4160536	-	9
3740905	-	1
385919	-	1
4029822	+	1
1502560	+	3
175057	+	4
1708461	-	4
3453901	-	9
431067	-	15
361896	-	9
1654573	-	1
4062278	+	1
925623	-	9
2220041	-	7
1371690	+	1
712192	+	1
2568256	-	3
149505	-	1
1997463	+	3
1337417	-	2
1121126	+	1
471426	+	1
4056470	+	1
3761302	-	2
838938	-	9
3778126	+	10
4056452	+	1
2554557	-	1
3119810	-	2
4187661	-	6
672486	+	3
3683796	-	1
1301479	-	12
2263834	+	1
2883529	-	1
2605396	+	2
3993882	+	1
838043	+	1
4032732	-	3
2247906	+	1
2413132	+	3
255812	-	1
249501	-	3
672131	-	9
2135880	+	1
3554069	+	2
370132	+	6
90269	-	1
208421	-	1
1751299	-	4
4320114	-	1
3993390	+	2
217764	+	1
3762134	-	1
4353637	-	1
130911	+	1
2175419	-	1
1618504	-	6
1415502	-	1
3100148	+	3
2796888	+	4
2209984	-	1
2732301	-	2
3677993	-	1
736270	+	1
426268	+	1
83358	-	6
2159996	-	1
996168	-	3
948988	-	2
3331361	-	2
1112167	-	1
4234638	+	1
2282353	-	1
37212	-	1
1158447	-	1
4328184	-	1
2882509	-	1
2795122	+	2
3243550	-	1
99645	-	1
2733339	-	5
1089311	-	1
2163219	+	3
931083	-	5
2607581	+	4
1348518	-	3
1987701	+	5
3940024	-	9
3389099	+	1
384582	+	1
3876909	-	12
3194118	-	12
800307	+	11
998505	-	5
3207465	+	1
2968550	-	1
1949458	+	1
4356882	-	1
1603661	-	1
401861	-	1
3545498	+	1
621383	-	1
4060243	-	1
3885981	-	7
3444903	+	3
424246	-	1
3586489	-	1
894810	-	1
486156	+	1
4374009	-	2
2533294	-	20
385114	+	1
1324788	-	10
225314	+	1
